Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Chips Pringles Sour Cream & Onion - 175,5053990155354,175 g,Non végétarien,"France, Allemagne, Italie, Martinique, Maurice, Portugal, La Réunion, Thaïlande",Snack salé au goût crème acidulée et oignon
Le pain des fleurs - 160,6175700,160 g,Végétarien,"Belgique, France, Pays-Bas, Sénégal",
Barilla sauce pesto rosso - 200,8076809523547,200 g,Non végétarien,"Autriche, Belgique, France, Allemagne, Italie, Suisse",Sauce pesto à la tomate et avec de l' “aceto balsamico di modena igp” (vinaigre balsamique de modène)
Sirop d'agave - Sunny Via - 350,3088543506255,350 g,Végétarien,"France, Polynésie française, Guadeloupe, La Réunion, Suisse",sirop d'agave
Country Crisp 4 noix - Jordans - 550,5010477348357,550 g,Végétarien,"Belgique, France, Polynésie française, Guadeloupe, Italie, Suisse","PÉPITES CROUSTILLANTES DE CÉRÉALES AVEC DES NOISETTES GRILLÉES EN MORCEAUX ET ENTIÈRES, DES AMANDES EFFILÉES ET ENTIÈRES, DES MORCEAUX DE NOIX DU BRÉSIL ET DES ÉCLATS DE NOIX DE PÉCAN"
Belvita Original Petit-Déjeuner miel et pépites de chocolat - LU - 435,7622210713889,435 g,Non végétarien,"Belgique, France, Suisse, en:la-reunion, en:polynesie-francaise",
NESQUIK Poudre Cacaotée boîte 250g - NestléNesquik - 250,3033710065066,250 g,NON,"Belgique, Côte d'Ivoire, France, Gabon, Luxembourg, Sénégal, en:Belgique, en:Espagne, en:Maroc, en:Nouvelle-Calédonie, en:Polynésie française, en:Suisse",Préparation en poudre instantanée pour boisson cacaotée
Eau minérale naturelle - Evian - 1.5,3068320120256,1.5 L,Végétarien,"Belgique, France, Luxembourg, Suisse",Eau minérale
GARDEN GOURMET La Panée Soja et Blé 180g - 180,7613036021388,180 g,Végétarien,France,Spécialité végane à base de protéines de soja
Skyr nature - Yoplait - 400 g (4 x 100 ,3329770073265,400 g (4 x 100 g),Non végétarien,France,Recette au yaourt nature 0% de matières grasses
Beurre bio de cacahuètes - Ethiquable - 350,3760091727732,350 g,NON,France,
Coca Zéro - Coca-Cola zero - ,5449000133328,1L,NON,"Algérie, Belgique, France, Allemagne, Hongrie, Italie, Maroc, Pologne, Portugal, Sénégal, Tunisie, en:Belgio, en:Francia, en:Germania, en:Polonia, en:Portogallo, en:Spagna, en:Svizzera","Boisson rafraîchissante aux extraits végétaux, avec édulcorants"
Original taste - Coca-Cola - 1.75 L,5000112611861,1.75 L ℮,NON,"Belgique, France, Suisse",Boisson rafraîchissante aux extraits végétaux
Cracotte - LU - 250 g (2 × 1,3041090063114,250 g (2 × 18),Non végétarien,"Belgique, France, Luxembourg, Suisse",Tartines craquantes au froment enrichies en fer
Carré frais 0% - Elle & Vire - 200g (8x25,3480341000674,200g (8x25g),Non végétarien,France,
Hafer barista edition - OATLY - ,7394376616501,1l,Végétarien,"France, Allemagne, Pays-Bas, Suisse, Royaume-Uni",Haferdrink
Copos de avena - Brüggen - 500,4008713756661,500 g,Végétarien,"Bulgarie, France, Roumanie, Espagne, États-Unis",rolled oats
RICORE Original - Nestlé - 100,3033710073467,100 g,Végétarien,"Belgique, France, Maroc, Espagne, Suisse",Café chicorée solubles et fibres de chicorée
