Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Lait d'amande chocolat - Bjorg - 1,3229820784946,1 L,NON,"France, Martinique, Espagne",Boisson amande chocolat Bio
Tofu fumé - taifun - 200,4012359113108,200 g,Végétarien,"Belgique, France, Allemagne, Pays-Bas, Espagne",Tofu Fumé Amandes-Sésame
Kellogg's Froot Loops - 375,5053827110679,375 g,NON,"Belgique, France, Allemagne, Portugal, Espagne, Suisse",Mélange de céréales au goût de fruits et en forme d'anneaux.
Sucre en poudre - Daddy - 750,3165433714010,750 g,Végétarien,France,Ppk poudre daddy kraft 750g
Beurre gastronomique doux - Président - 25,3228020215090,250g,Non végétarien,"France, Maroc, La Réunion, en:Belgique, en:Maroc, en:Suisse",beurre doux pasteurisé 82% de M.G.
Nature Céréales - Nestlé - 450,3387390321357,450 g,NON,"Belgique, Côte d'Ivoire, France, Guadeloupe, Martinique, Maroc, La Réunion, Sénégal, Espagne, Suisse","Pétales de blé complet, de riz et d'avoine complète avec vitamines (B3, B5, B6, B2, B9), calcium et fer"
La Crème légère épaisse en poche de Normandie - Elle & Vire - 33 ,3451790439506,33 cl,Non végétarien,France,Crème fraîche légère
Knacki® Original 100 % Pur Porc - Herta - 350 g (10 x 35 ,7613034926814,350 g (10 x 35 g),Non végétarien,"France, Suisse",Saucisses de Strasbourg
Blanc de Poulet - Doré au Four - Fleury Michon - 160,3095756193011,160 g,Non végétarien,"France, Suisse","Blanc de poulet de qualité supérieure cuit et préparé en salaison, doré au four"
Emprésuré au chocolat - Malo - 4*125,3278693504076,4*125 g,Non végétarien,France,Lait pasteurisé emprésuré sucré au chocolat
Ristorante Pizza Mozzarella - Dr. Oetker - 33,4001724819806,335g,Végétarien,"Australie, Autriche, Belgique, Chypre, Danemark, Finlande, France, Allemagne, Grèce, Irlande, Luxembourg, Pays-Bas, Norvège, Portugal, Russie, Espagne, Suède, Suisse, Royaume-Uni","Pizza richly topped with tomatoes, mozzarella and basil on a crispy, thin base, quick-frozen"
Bolognese - Barilla - 40,8076809513678,400g,NON,"Autriche, Belgique, Bulgarie, France, Allemagne, Luxembourg, Espagne, Suisse",Sauce Bolognese
Fourrés chocolat🍫 lait🥛 noisettes🥜 - Bjorg - 225,3229820783673,225 g,Non végétarien,France,biscuits Fourrés Chocolat Lait Noisettes Bio
Dessert végétal Noisette-Amande - Sojasun - 400 g (4x100,3273220085301,400 g (4x100g),Végétarien,France,"Dessert au soja aux noisettes amandes, aromatisé, enrichi en calcium"
Chocolate - Ferrero Kinder - 100,40084701,100 g,Non végétarien,"France, Allemagne, Hongrie, Pologne, Roumanie, Russie, Suisse",Chocolat supérieur au lait avec fourrage au lait
Lait demi-écrémé - Délisse - ,3564700005552,1L,NON,France,Lait demi-écrémé stérilisé UHT
Marmite yeast extract -,50184453,6,Végétarien,"France, Irlande, Royaume-Uni",Extrait de levure
Secret de mousse - La Laitière - 236 g (4 * 59 ,3023290009055,236 g (4 * 59 g),Non végétarien,"France, Suisse",
CROCO - Haribo - 280,3103220035214,280 g,Non végétarien,"France, Suisse",Confiserie gélifiée fantaisie
Doritos goût nacho cheese - 170,3168930009191,170 g,Non végétarien,"Belgique, France, Mexique, Espagne, en:Francia",Tortilla chips de maïs goût fromage
Maille Mayonnaise Fins Gourmets Bocal 320g - 320,3250541920139,320 g,Non végétarien,"France, Luxembourg",Mayonnaise.
Enrobed White - Oreo - 246 g (6 * 41 ,7622300489427,246 g (6 * 41 g),Non végétarien,"Belgique, France, Italie, Maroc, Royaume-Uni",Biscuit cacaoté fourré goût vanille enrobé d'un glaçage (43%) goût chocolat blanc
Tourtel 27.5 cl Tourtel Twist Citron 0.0 DEGRE ALCOOL - 275 ,3080216043807,275 ml,NON,France,Boisson sans alcool à base de bière au jus de citron aromatisée citron.
MAILLE Vinaigrette Légère Huile de Sésame & Sauce Soja Graines de Sésame Torréfiées 36 cl - 360,8711200584383,360ml,NON,"France, Allemagne",Vinaigrette allégée en matières grasses (43%). Réduite en matières grasses de 42% par rapport à une vinaigrette classique (75% MG) à 2850 kJ / 680 kcal pour 100 g.
ST HUBERT OMEGA 3 doux 255G - 255,3366321051549,255 g,NON,France,"Matière grasse à tartiner et à cuire allégée (52 % MG), enrichie en vitamine B1"
"Boisson à l’amande, saveur vanille - Alpro - ",5411188120742,1l,Végétarien,"Belgique, République tchèque, France, Allemagne, Hongrie, Suisse",
Pépito Croc sablé goût choco - Lu - 29,7622210400574,294g,Non végétarien,"France, en:La Réunion",Biscults fourrés gout chocolat
Couscous parfumé ép. douces - Tipiak - 500,3165440008782,500 g,Non végétarien,France,Graine de couscous précuite aromatisée aux épices
Mayonnaise Classique - Lesieur - 175,3011360030498,175 g,NON,France,Mayonnaise aux œufs de poules élevées en plein air et à la moutarde de Dijon
Nature valley crunchy - 1p,8410076801180,1pcs,Non végétarien,"France, Allemagne, Espagne, Royaume-Uni, en:Bélgica",
MINI BN Fraise - 17,3061990141118,175g,Non végétarien,"Belgique, France, Suisse",Biscuits aux fruits fourrés à la fraise
collezione linguine - Barilla - 500,8076809523509,500 g,Végétarien,"Belgique, France, Allemagne, États-Unis",Pâtes alimentaires de qualité supérieure
Lätta - Flora - 50,17192008,500g,Végétarien,"Autriche, France, Allemagne, Portugal, La Réunion, Espagne, en:Alemania, en:Bélgica, en:Francia, en:Países Bajos, en:Reino Unido, en:Suecia, en:Suiza, Alemania, Bélgica, Francia",
Thon entier au naturel - Nixe - 19,20403027,195g,Non végétarien,"Belgique, France, Allemagne, Suisse, États-Unis",Thon entier au naturel
Yaourt à la grecque teneur réduite en matières grasses - Pilos ( Lidl ) - 1 ,20416690,1 kg,Non végétarien,"Belgique, France, Allemagne, Irlande, Espagne, Royaume-Uni",Joghurterzeugnis 2 % Fett
Fraise - Gerblé - 320,3175681854482,320 g,NON,"Belgique, Côte d'Ivoire, France, Suisse","Préparation aux fraises sans sucres ajoutés, à valeur énergétique réduite (66%), avec édulcorants"
Pain 100% mie complet biologique - Harrys - 325,3228857000937,325 g,NON,France,Pain de mie complet sans croûte bio
Lait demi-écrémé - Bio Village - 1,3564707000246,1 L,Non végétarien,France,Lait Demi-écrémé UHT issu de l'agriculture biologique
NESTLE CRUNCH Céréales 450g - 450,7613035189027,450 g,NON,"France, Guadeloupe, Martinique, La Réunion","Céréales aromatisées prêtes à consommer et sources de 7 vitamines, calcium et fer"
Aubergines cuisinées à la provençale - Cassegrain - 37,3083681093926,375g,NON,France,Aubergines cuisinées
Hipro - danone - 30,3033491485763,300g,Non végétarien,France,Hipro Vanille-Cookie
NESTLE LION Céréales 750g - 750,7613037793338,750 g,Non végétarien,France,"Céréales prêtes à consommer, avec de la pâte de caramel (6,3%), aromatisées et sources de 7 vitamines, calcium et fer"
10 pains au lait frais - la boulangère - 35,3760049798876,350g,Non végétarien,France,
Allumettes de Jambon - Fleury Michon - 150,3095758914010,150 g,Non végétarien,France,Jambon cuit choix
Bacon Fumé - Herta - 150 g,3154230040286,150 g e,Non végétarien,"Afghanistan, France",Filet de bacon fumé
"Pepsi 1,5L - 1500 ",3502110008329,1500 ml,NON,"Belgique, France, Allemagne",Boisson gazeuse rafraîchissante aux extraits végétaux avec sucre et édulcorant.
Cacao en Poudre Non Sucré - Van Houten - 255,4006985906203,255 g,Végétarien,France,Cacao en poudre
GARDEN GOURMET Boulettes aux Légumes 200g - 200,7613035694989,200 g,Non végétarien,France,"Spécialité végétarienne à base de protéines de soja réhydratées, protéines de blé réhydratées et blanc d'œuf"
Kichererbsen - Sol&Mar - 54,20468583,540g,Végétarien,"France, Allemagne, Pologne, Espagne, Suisse","Pois chiches, cuits"
Flakes red berries - Crownfield - 425,20621452,425 g,Végétarien,"Belgique, République tchèque, Finlande, France, Allemagne",Pétales de blé complet égrugé et riz croustillant avec 5% de fruits rouges lyophilisés
Pain de mie longue conservation - Harrys - 250,3228850006035,250 g,NON,"France, États-Unis",Pain de mie longue conservation
Biscottes Forme+ - Heudebert - 280 g - 34 biscott,3392460482012,280 g - 34 biscottes,NON,France,"Biscotte au gluten enrichie en vitamines E, B1, B2, B6, acide folique, en calcium, fer et magnésium et riche en phosphore"
Kinder Riegel - 10p,4008400221021,10pcs,Non végétarien,"Autriche, Finlande, France, Allemagne, Italie, Espagne, Suisse",KINDER MAXI : Chocolat supérieur au lait avec fourrage au lait
Coca cola - 250 ,5449000008046,250 ml,NON,"Belgique, Bénin, France, Hongrie, Maroc, Pays-Bas",Boisson rafraîchissante aux extraits végétaux
"Coca-Cola Zero Açúcar - 1,75 Litr",5449000080806,"1,75 Litros",NON,"Autriche, Belgique, France, Hongrie, Portugal","Boisson rafraîchissante aux extraits végétaux, avec édulcorant"
WASA Original - 275,7300400118101,275 g,Végétarien,"France, Italie, Portugal, Espagne",Crispbreads rye
Amora Mayonnaise De Dijon Flacon Souple 235g - 235,8711200548033,235 g,Non végétarien,"France, Suisse",Mayonnaise.
Petit nesquik - Nestlé - 6  x 60,3023290007310,6  x 60 g,Non végétarien,"Belgique, France, Suisse",
Cruesli Chocolat noir maxi format - QUAKER - 900,3168930010869,900 g,NON,"France, Italie, Suisse",Pépites de céréales croustillantes avec chocolat noir
CHAUSSEE AUX MOINES 340g - 340,3228021170060,340 g,Non végétarien,France,Fromage à pâte pressée non cuite au lait pasteurise
Cracotte fibres - LU - 250,7622300694678,250 g,NON,France,Tartines craquantes riches en fibres - Cracotte Fibres
Batonnet Glace Mini Classic Amande Chocolat Blanc x 6 330 ml - Magnum - 266,8714100635698,266 g,Non végétarien,"France, Allemagne, Espagne, Frankreich",Glace vanille à l'arôme naturel de vanille de Madagascar enrobée de chocolat au lait (31%) et d'amandes (4%).
MAGGI Bouillon BIO Volaille 80g - 80,8585002484079,80 g,Non végétarien,France,"Bouillon déshydraté à la volaille, aromatisé"
Tarte en Or Brisée - Herta - 230 g,3154230600121,230 g e,NON,France,
Noix de cajou & cranberries - Alesto - 20,20815400,200g,Végétarien,"Belgique, France, Allemagne, Italie",
Chips saveur fromage du Jura - Bret's - 125,3497917000907,125 g,Non végétarien,France,Chips de pommes de terre au fromage du Jura
Beurre demi-sel aux cristaux de sel de Mer de Noirmoutier - Grand Fermage - 250,3523230030793,250 g,Non végétarien,"France, Suisse",
Innocent jus ananas & fruit de la passion 900ml - 900 ,5038862166508,900 ml,NON,"France, Suisse",Pur jus de 5 fruits pressés
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg - 1000,5050083535079,1000 g,Non végétarien,"Belgique, France","Céréales fourrées au goût chocolat noisettes, enrichies en vitamines et en fer."
Coca-Cola Cherry - 330 ,5449000214843,330 ml,NON,France,Boisson rafraîchissante aux extraits végétaux et arôme cerise.
Galleta maría ligera sin sal y sin azúcar - Gullón - 600 g (3 x 200 ,8410376000825,600 g (3 x 200 g),NON,"France, Espagne",Galleta con cereales sin azúcares añadidos con edulcorante y sin sal
Knorr dcr 8 legumes 1l - 1000 ,8710908960864,1000 ml,Non végétarien,France,Soupe.
Amora Sauce crudités Caesar Bouteille 380ml - 380 ,8711200461004,380 ml,Non végétarien,France,Sauce crudités caesar.
Dragibus - Haribo - 30,3103220048658,300g,NON,France,
"Fromage blanc 3,1% de Mat. Gr. - Envia - 1",20266387,1kg,NON,France,Fromage blanc
Dragibus - Haribo - 40,3103220030400,40 g,NON,"Belgique, France, Suisse",Confiserie dragéifiée
NESTLE DESSERT Noir Absolu 170g - 170,7613035859098,170 g,Non végétarien,"France, La Réunion",Chocolat noir supérieur
3xFischstäbchen - Ocean Sea - 45,20155087,450g,Non végétarien,"France, Allemagne, Suisse",
Red Kidney Beans - Freshona - 25,20166090,255g,Végétarien,"Autriche, Belgique, République tchèque, France, Allemagne, Pays-Bas, Pologne",
Secret d'arômes plein sud - Knorr - 6,3011360002884,60g,Végétarien,France,Assaisonnement déshydraté.
Sucre de Fleur de Coco Bio - Daddy - 230,3165437010101,230 g,Végétarien,France,Sucre en poudre
St Hubert Omega 3 Sans Huile de Palme 500g Doux - 500,3366321052003,500 g,NON,France,"Matière grasse à tartiner et à cuire allégée (50 % MG), enrichie en vitamine B1"
"KITKAT 4 Finger Barre au Chocolat au Lait 41,5g, unitaire - Nestlé - 41.5",40052397,41.5 g,Non végétarien,"France, Mexique, La Réunion, Espagne","Gaufrette croustillante (31,8%) enrobée de chocolat au lait (68,2%)"
Allen Swiss style muesli - Alpen - 560,5010029201246,560 g,Non végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Portugal, Espagne, Suisse, Royaume-Uni","Mélange de céréales avec des raisins, des noisettes et des amandes"
Chargement… - pringles - 165,5053990101573,165 g,Végétarien,"Arménie, Biélorussie, Belgique, Bosnie-Herzégovine, Bulgarie, Croatie, France, Hongrie, Koweït, Maroc, Pologne, Roumanie, Russie, Serbie, Suisse",Snack salé
Cacahuètes grillées & salées - Alesto - 250 g,20014384,250 g ℮,Végétarien,"Belgique, Bulgarie, France, Hongrie, Espagne, Suède",Cacahuètes grillées & salées
Griechischer art natur - Milbona - 1 ,20047559,1 kg,Non végétarien,"Belgique, France, Allemagne, Pays-Bas, Espagne",yaourt style grec
Oasis tropical - 33 ,3124480186676,33 cl,NON,"France, Suisse",Boisson rafraîchissante aux fruits et à l'eau de source
Coca-Cola goût original - 500,3174780000363,500ml,NON,"France, Suisse",Boisson rafraîchissante aux extraits végétaux
Boisson à l'avoine nature - Alnatura - ,4104420186279,1l,Végétarien,"France, Allemagne, Suisse",Hafer Drink ungesüßt
Fanta Orange - 2,5449000004840,2 l,NON,"République tchèque, France, Allemagne, Roumanie, Espagne",Boisson rafraîchissante au jus d'orange avec sucre et édulcorants
NESQUIK Moins de Sucres Poudre Cacaotée boîte 650g - Nestlé - 650,7613036352734,650 g,NON,"France, Espagne, Suisse",Préparation en poudre instantanée pour boisson cacaotée
Knorr Soupe Liquide Légumes du Potager 45cl - 450 ,8711200350377,450 ml,Non végétarien,France,Soupe.
Biscuit Caramel épeautre - Gerblé - 13,3175681263130,132g,NON,France,
Complètement coco - Alpro - 350,5411188131380,350 g,Végétarien,"Finlande, France, Allemagne, Espagne, en:Deutschland",yaourt à base de lait de coco
Bio Basis Müsli 5 Korn Mix - Crownfield - 750,4056489238393,750 g,NON,"France, Allemagne, Roumanie",
Simplement BIO - Le supérieur - Conservation sans nitrite - Fleury Michon - 120,3302740050268,120 g,Non végétarien,France,
PRESIDENT BUCHE FONDANTE CHEVRE FORMAT FAMILIAL 250g - 0.25 ,3228023080015,0.25 kg,Non végétarien,France,Fromage de chèvre au lait pasteurisé
Pâte à tartiner Noir cacaopasta - Jardin bio - 350,3478820005654,350 g,Végétarien,"Belgique, France, La Réunion",Pâte à tartiner au cacao bio
Pain de mie complet - Bien - 500,3760049794373,500 g,Végétarien,France,Pain de mie Bio à la farine complète
Vegane Mühlen Cordon Bleu - Rügenwalder Mühle - 2 x 10,4000405005026,2 x 100g,Végétarien,"France, Allemagne, Suisse",
"MOUSLINE Purée Nature Format Individuel (4x31,25g) - Maggi - 125",7613035147232,125 g,Végétarien,France,Purée de pomme de terre en flocons
Prince goût tout choco - Lu - 300,7622210450098,300 g,Non végétarien,"France, La Réunion, États-Unis","Biscuits au cacao maigre, au lait et fourrés, parfum chocolat"
Pesto au basilic Vegan - Barilla - 19,8076809572569,190g,Végétarien,"France, Allemagne, Suisse",Sauce Pesto vegan
Knorr Soupe Liquide Velouté de Potiron à la Crème Fraîche 1 L - 1000 ,8710908962042,1000 ml,Non végétarien,France,Soupe.
Crunchy Muesli - Crownfield - 60,4056489209997,600g,Non végétarien,"Belgique, France, Allemagne, Grèce, Italie, Portugal, Espagne","Knusper-Müsli mit 11% Zartbitterschokoladenstückchen, Mandel und Haselnusskernstückchen"
Céréales mix - Crownfield - 500,4056489238386,500 g,Non végétarien,"France, Allemagne, Roumanie",
Biscuits fourrés goût fraise - BN - 285,3061990143372,285 g,Non végétarien,"Belgique, France",
Harrys pain de mie 100% mie complet sans croute sans sucres ajoutés - 500,3228857001521,500 g,NON,France,Pain de mie sans croûte à la farine complète
Chocolat au lait avec noisettes entières - Fin Carré - 100,,100 g,Non végétarien,"France, Allemagne, en:Allemagne",Chocolat au lait avec noisettes entières
Petites gambas compotée de tomates Tagliatelles au pesto - Marie - 280 g,3166352967211,280 g e,Non végétarien,France,"Petites gambas, compotée de tomates au parmesan et tagliatelles sauce pesto"
Moutarde. - Amora - 230,3250546095238,230 g,Végétarien,France,Moutarde.
Tartines craquantes bio au sarrasin sans gluten - Le Pain des Fleurs - 150,3380380046940,150 g,Végétarien,"Belgique, France, Portugal",
Nesquik - 150 g (6 x 25 ,3387390406719,150 g (6 x 25 g),Non végétarien,"Belgique, France, Portugal, Espagne, Suisse","Barre de céréales au chocolat en poudre et au lait, enrichie en 5 vitamines, calcium et fer"
Purée de cacahuètes - Jean Hervé - 350,3390390000153,350 g,Végétarien,"Belgique, France, Suisse",purée d'arachides bio
Avoine - Oatly - ,7394376616129,1l,Végétarien,"Autriche, France, Allemagne, Pays-Bas, Suisse, Royaume-Uni, en:Deutschland, en:Frankreich, en:Niederlande, en:Vereinigtes Königreich",Boisson à base d'avoine
MAGGI Bouillon KUB Volaille 180g - 180,7613033687884,180 g,Non végétarien,"France, Suisse","Bouillon déshydraté à la volaille, aromatisé"
NESQUIK Poudre Cacaotée boîte 490g - Nestlé - 490,7613034916891,490 g,NON,"France, Guadeloupe, Martinique, Nouvelle-Calédonie, La Réunion, Sénégal, Suisse",Préparation en poudre instantanée pour boisson cacaotée
Purée de tomate la rossa - Mutti - 700,80042563,700ml,Végétarien,"Australie, Belgique, France, Allemagne, Italie, Pays-Bas, Suisse",
Spaghetti n°5 - Barilla - 1 ,8076800105056,1 kg,Végétarien,"Autriche, France, Allemagne, Italie, Suisse",Pâtes alimentaires de qualité supérieure
Thé vert menthe x 30 sachets - Lipton - 48,8712100824586,48 g,NON,"France, Espagne",30 sachets enveloppés Thé vert aromatisé
Panzani - spf - sauce bolognaise classique 425g - 425,3038359007651,425 g,Non végétarien,France,Sauce tomate cuisinée à la viande
"Chocolat Kinder Chocofresh fourré lait noisette x5 102,5g - Ferre",8000500309469,102.5g,Non végétarien,"Autriche, Belgique, France, Allemagne, Suisse, Royaume-Uni",Kinder chocofresh t5
Big Mac™ - McDonald's - 216.7,,216.7 g,Non végétarien,"Belgique, France, Allemagne, Irlande, Espagne, Suisse, États-Unis","Pain aux graines de sesame (E927a, E471, E282, E281, steaks haché de Bœuf (origine : France), salade (origine : France), oignon, cornichon, fromage fondu (Cheddar (51%), eau, fromage (9%), lait écrémé en poudre, beurre, sels de fonte (E331, E330), protéines de lait, arômes naturels, sel, colorants (beta carotène, extrait de paprika), antiagglomérant (lécithine de tournesol)), sauce (Eau, Huile de colza, vinaigre d'alcool, cornichons, sirop de glucose-fructose, sucre, amidon de maïs modifié, jaune d'œuf, épices (dont moutarde, sel de cuisine, épaississant (E415), arômes naturels, extrait de levure, affermissant (E509)E15,  E433, E211,EDTA), ."
Grandino Chocolate chip cookies - Sondey - 225,20080211,225 g,Non végétarien,"Belgique, France, Allemagne, Italie, Espagne",Biscuits sablés avec 29% de pépites de chocolat noir et 11% de pépites de chocolat au lait
Bastogne - LU - 260 g,3056440070896,260 g ℮,Non végétarien,"Belgique, France, Polynésie française, Nouvelle-Calédonie, La Réunion",Biscuits au sucre candi en poudre.
Toastinette cheddar 10 tranches - La vache qui rit - 200,3073781099324,200 g,Non végétarien,France,Fromage fondu
Miel l'apiculteur de nos terroirs - Michaud Yves - 500,3088540502298,500 g,Non végétarien,"Belgique, France",
Orangina zéro - 1.5 L,3124480185020,1.5 L ℮,NON,"Belgique, France","Boisson gazeuse rafraîchissante aux fruits, avec édulcorants. Sans aspartame"
Camembert - Cœur de Lion - 250 g,3176582033334,250 g e,Non végétarien,France,Camembert au lait pasteurisé
Eau minérale naturelle - Contrex - 1,3179730115821,1 L,NON,"Belgique, France",Eau minérale naturelle
Le Bio Orange - Pressade - 1.5,3254691586085,1.5 L,Végétarien,France,Nectar d'orange
Pommes Mangues avec morceaux - Charles & Alice - 400 g (4 x 100 ,3297760097143,400 g (4 x 100 g),NON,"France, Nouvelle-Calédonie",Spécialité de Mangues-pommes sans sucres ajoutés goût mangue
Perle de Lait Nature - Yoplait - 500 g e (4 * 125 ,3329770058699,500 g e (4 * 125 g),Non végétarien,"France, Suisse",Spécialité Laitière Nature
Paysan Breton - Le Fromage Fouetté Madame Loïk - Ail et fines herbes de nos régions françaises - 150,3412290071801,150 g,Non végétarien,"Belgique, France",Fromage fouetté Ail & fines Herbes
Amandes grillées sans sel - Maitre Prunille - 250,3502490099177,250 g,Végétarien,France,Amandes grillées sans sel
Fromage blanc au lait demi-écrémé - Délisse - 1 ,3564700007433,1 kg,Non végétarien,France,
GARDEN GOURMET Pavé Gourmand Epinards et Fromage 180g - 180,7613035694897,180 g,Non végétarien,France,Spécialité végétarienne à base d'épinards et fromages
Petit Déjeuner Chocolat - LU - 600 g,7622210713803,600 g e,Non végétarien,"Belgique, France, La Réunion, Suisse",
AMORA Moutarde Douce Verre TV 190g - 190,8722700431237,190 g,NON,France,Moutarde douce.
Proteínas natural - Hacendado - 4 x 120,8480000209085,4 x 120 g,Non végétarien,"France, Portugal, Espagne",
Nutella - Ferrero - 45,80050865,450g,Non végétarien,"France, Allemagne, Italie, Lituanie, Pologne, Espagne, Suisse, États-Unis",Chocolate and nuts sweet spread
Ferrero Rocher Milk Chocolate Original - 90,8000500359488,90 g,Non végétarien,"France, Allemagne, Royaume-Uni",Chocolate bar with milk
"May Tea pêche - 1,2",3124480195319,"1,2 l",NON,France,
Chocolat noir extra - Fin Carré - 1p,,1pcs,NON,"France, Allemagne, Italie, Suisse, États-Unis",
Yaourt - Danone - 1,3033490545185,1kg,Non végétarien,"France, Espagne",Lait fermenté maigre nature au bifidus
Tomacouli Nature - Panzani - 3 x 200,3038352875035,3 x 200 g,Végétarien,France,Purée de tomates fraîches réduites à 7%
Infusion touche d'Hibiscus - Volvic - 75,3057640508813,75cl,NON,"Belgique, France, Luxembourg",
Ultra-Concentré Réglisse Anis - Antésite - 13 ,3109850018511,13 cl,NON,"France, Guyane, Allemagne, Suisse",Concentré à diluer sans sucres
La Faisselle - Fromage blanc de tradition - Rians - 1 ,3184670001288,1 kg,NON,France,Fromage Blanc de Campagne / Faisselle
Pain 100% mie nature - Harrys - 500,3228857000869,500 g,NON,"Belgique, France, Suisse",pain de mie
Penne au saumon et crème d'épinards - Marie - 280,3248832960025,280 g,Non végétarien,"France, Suisse",Penne au saumon et crème d'épinards
Noir 74% cacao - Carrefour - 100,3270190127765,100 g,NON,"France, Italie, Espagne, Bélgica, Francia, Marruecos, Polinesia Francesa, Tailandia",Chocolat noir issu de l'agriculture biologique. Pur beurre de cacao.
St Moret Ligne & Plaisir 8%  Minis - 20,3272770093590,20 g,Non végétarien,France,
Houmous - Carrefour - 180,3560071010522,180 g,NON,"France, Espagne",Préparation à base de pois chiches et de pâte de sésame
dessert fruitier pomme🍏🍎poire🍐 - Andros - 400,3608580006657,400 g,Végétarien,France,Dessert de pommes et de poires
Pain de mie à la farine complète - Weight Watchers - 330,3760049795059,330 g,NON,France,Pain de Mie Complet sans Croûte
Eau minérale naturelle gazeuse 50cl PET - San Pellegrino - 500 ,8002270015328,500 ml,NON,"Belgique, France, Suisse",Eau minérale naturelle avec adjonction de gaz carbonique
Galletas Digestive Avena naranja - Gullón - 425,8410376047578,425 g,Végétarien,"France, Hongrie, Italie, Maroc, Portugal, Espagne",
Compote pommes allégée en sucres - Freshona - 720,4056489027768,720 g,NON,France,
La chips de Sarrasin - Brets - 120 g,3497917002451,120 g e,Végétarien,France,
Evian 50,3068320124537,NON,Végétarien,"Belgique, France",
Planta fin tartine & cuisson - 250,8719200204195,250 g,Non végétarien,France,margarine
Burgers nature géant sans additifs - Jacquet - 350,3029330072683,350 g,NON,France,Pain spécial pour hamburger
Pate feuilletée Tarte en or - Her,3154230600183,NON,Végétarien,France,
Mini Brownie - Sondey - 24,20349486,240g,Non végétarien,"Belgique, France, Italie",
Panzani tomacouli nature 200g - 200,3038352875066,200 g,Végétarien,France,Purée de tomates fraîches réduite à 7%
Orangina et sa Pulpe - 33 ,3124480184320,33 cl,NON,France,
Primevère doux sans huile de palme - 500,3155251204350,500 g,NON,France,Matière grasse à tartiner et à cuire à 63% de MAT.GR
Boisson de soja nature sans sucre - Sojasun - 1,3273220080108,1 L,NON,"France, Suisse","Boisson de Soja nature, riche en Calcium, stérilisée UHT"
Chips saveur Chèvre🐐 piment d'Espelette🌶️ - Brets - 125,3497917000518,125 g,Non végétarien,France,Chips de pommes de terre saveur Chèvre & Piment d'Espelette
Surimi tendre aux poissons sauvages - Carrefour - 466,3560071157722,466 g,Non végétarien,France,Surimi de chair de poisson MSC saveur crabe
T-Toast Vollkorntoast - Golden Toast - 16,4009249019923,160g,NON,"France, Allemagne",Vollkornweizentoast
AFTER EIGHT Coffret 300g - Nestlé - 300,5000426171518,300 g,Non végétarien,"Belgique, France, Espagne, Royaume-Uni","Fines feuilles de chocolat noir fourrées à la menthe (60,4%). Le chocolat noir contient des matières grasses végétales en plus du beurre de cacao"
Coco pops - Kellogg's - 350,5053827196642,350 g,NON,"France, Suisse","Grains de riz soufflés au goût chocolat, enrichis en vitamines et en fer."
Tortilla Nachips Original - Old El Paso - 185,8410076481597,185 g,Végétarien,"Autriche, Belgique, Danemark, Finlande, France, Allemagne, Grèce, Islande, Irlande, Italie, Pays-Bas, Norvège, Pologne, Portugal, Espagne, Suède, Suisse, Royaume-Uni",Chips de maïs
Yaos stracciatella - Nestlé - 125,3023290032114,125 g,Non végétarien,France,
Pain au lait frais - la boulangè,3760049798890,NON,Non végétarien,France,Nutria ore is B
Nutty pillows - Crownfield - 750,20101268,750 g,Non végétarien,"Belgique, France, Allemagne, Espagne, Suisse, Royaume-Uni",Petits carrés de céréales fourrées de 40% de fourrage à la noisette
Lulu La Barquette Framboise - Lu - 120 g,3017760038706,120 g e,Non végétarien,"France, Suisse",Genoise garnie à la framboise
Cafe - Nescafé - 20,3033710075225,200g,Végétarien,"France, La Réunion, Espagne, Suisse",Café instantané
Lemon Tartelettes - bonne maman - 12,3178530402988,125g,Végétarien,"Belgique, France, Suisse",
President comte le montarlier affine 6 mois 220g - 220,3228022170175,220 g,Non végétarien,"Australie, France, Espagne",Comté (fromage à pâte préssée cuite au LAIT cru)
"Céréales aromatisées prêtes à consommer enrichies en 5 vitamines, calcium et fer - Golden Grahams - 375",3387390339505,375 g,NON,"Belgique, France, Portugal, La Réunion, Espagne, Suisse","Céréales aromatisées prêtes à consommer enrichies en 5 vitamines, calcium et fer"
Muesli croustillant tradition - Terres et Céréales - 1 ,3421557501722,1 kg,Végétarien,France,Muesli Croustillant Tradition
Club-Maté - 0.5,4029764001807,0.5 l,Végétarien,"Autriche, Belgique, France, Allemagne, Pologne, Suisse",Boisson pétillante sans alcool au maté
Mandorla senza zuccheri - Alpro - ,5411188122661,1L,Végétarien,"France, Allemagne, Italie, en:Allemagne, en:Belgique, en:Suisse",Lait d'amande avec calcium et vitamines ajoutés
Sauce Soja - Kikkoman - 150 ,8715035110205,150 ml,Végétarien,"Autriche, France, Allemagne, Russie, Espagne, Suisse",Sauce soja fermentée
Nouilles instantanées goût boeuf - YumYum - 6,8852018101017,60g,NON,"Belgique, Danemark, France, Allemagne",Préparation alimentaire à base de blé tendre saveur boeuf
Lustucru gnocchi a poeler format xxl 715g - 715,3240931545066,715 g,NON,France,Gnocchi
Fjord nature - Danone - 500 g (4x125g ,3033491580543,500 g (4x125g e),Non végétarien,France,Spécialité laitière nature
